pandoc_name,pandoc_css,pandoc_desc,tm_scope,pygmn_css
Alert,al,"Special words in comments, such as TODO, FIXME, XXXX and WARNING.",NA,NA
AnnotationTok,an,"Annotations in comments or documentation commands, such as @param in Doxygen or JavaDoc.",NA,NA
AttributeTok,at,"Annotations or attributes of functions or objects, e.g. @override in Java, or __declspec(...) and __attribute__((...)) in C++.",entity.other.attribute-name,NA
BaseNTok,bn,Numbers with base other than 10.,NA,NA
BuiltInTok,bu,"Built-in language classes, functions and objects.",support,NA
CommentTok,co,Normal comments.,comments,NA
CommentVarTok,cv,"Variables names used in above commands in a comment, such as foobar in “@param foobar”, in Doxygen or JavaDoc.",NA,NA
ConstantTok,cn,"Language constants and user defined constants, e.g. True, False, None in Python or nullptr in C/C++; or math constants like PI.",constant.language,NA
ControlFlowTok,cf,"Control flow keywords, such as if, then, else, return, switch, break, yield, continue, etc.",keyword.control,NA
CharTok,ch,Single characters such as 'x'.,NA,sc
DataTypeTok,dt,"Built-in data types such as int, char, float, void, u64, etc.",storage.type,NA
DecValTok,dv,Decimal values.,constant.numeric,NA
DocumentationTok,do,"Text style for comments that reflect API documentation, such as /** doxygen comments */ or """"""docstrings"""""".",markup.heading,NA
ErrorTok,er,Error highlighting and wrong syntax.,invalid,NA
ExtensionTok,ex,"Well-known extensions, such as Qt™ classes, functions/macros in C++ and Python or boost.",NA,NA
FloatTok,fl,Floating point numbers.,constant.numeric.float,NA
FunctionTok,fu,Function definitions and function calls.,entity.name,NA
ImportTok,im,"Includes, imports, modules or LATEX packages.",keyword.control.import,NA
InformationTok,in,"Information, notes and tips, such as the keyword @note in Doxygen.",NA,NA
KeywordTok,kw,Text style for built-in language keywords.,NA,NA
OperatorTok,op,"Operators, such as +, -, *, /, %, etc.",NA,NA
OtherTok,ot,Attributes that do not match any of the other default styles.,NA,NA
PreprocessorTok,pp,Preprocessor statements or macro definitions.,NA,NA
RegionMarkerTok,re,"Region markers, typically defined by //BEGIN and //END in comments.",NA,NA
SpecialCharTok,sc,"Escaped characters in strings, e.g. “hello\n”, and other characters with special meaning in strings, such as substitutions or regex operators.",keyword.operator,NA
SpecialStringTok,ss,"Special strings, such as regular expressions in ECMAScript, the LATEX math mode, SQL, etc.",string.regexp,NA
StringTok,st,Strings like “hello world”.,string,NA
VariableTok,va,"Variables, if applicable. For instance, variables in PHP/Perl typically start with a $, so all identifiers following the pattern $foo are highlighted as variable.",variable,NA
VerbatimStringTok,vs,"Verbatim or raw strings like 'raw \backlash' in Perl, CoffeeScript, and shells, as well as r'\raw' in Python, or such as HERE docs.",NA,NA
WarningTok,wa,"Warnings, such as the keyword @warning in Doxygen.",NA,NA
